project	last_updated	unique_id	geno	type	plot	rep	treatment	biomass_date	plant_height_date	location	fresh_weight_stalk_g	fresh_weight_panicle_g	total_fresh_weight_kg_hectare	dry_weight_stalk_g	dry_weight_panicle_g	total_dry_weight_kg_hectare	number_of_stalks	plant_height_cm	comments
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0101W_G1_17	G1	Grain	1	1	WW	9/19/17	9/19/17	Scottsbluff  NE	4326	978	76122.26	930	281	17375.03	11	134	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0102W_G3_17	G3	Grain	2	1	WW	9/19/17	9/19/17	Scottsbluff  NE								120	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0103W_E10_17	E10	Energy	3	1	WW	9/19/17	9/19/17	Scottsbluff  NE									
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0104W_S2_17	S2	Sweet	4	1	WW	9/19/17	9/19/17	Scottsbluff  NE	3340	748	58670.4	786	239	14710.61	12	154	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0105W_S10_17	S10	Sweet	5	1	WW	9/19/17	9/19/17	Scottsbluff  NE	3912	800	67625.96	990	273	18130.45	10	228	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0106W_E6_17	E6	Energy	6	1	WW	9/19/17	9/19/17	Scottsbluff  NE	6448		92540.78	937		13448.37	19	196	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0107W_S3_17	S3	Sweet	7	1	WW	9/19/17	9/19/17	Scottsbluff  NE	8014	342	119924.13	2074	78	30886.13	11	260	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0108W_E1_17	E1	Energy	8	1	WW	9/19/17	9/19/17	Scottsbluff  NE	6236	280	93516.71	1109	90	17195.39	14	202	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0109W_E17_17	E17	Energy	9	1	WW	9/19/17	9/19/17	Scottsbluff  NE									
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0110W_E8_17	E8	Energy	10	1	WW	9/19/17	9/19/17	Scottsbluff  NE	12026		172595.45	2588		37137.61	16	290	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0111W_E11_17	E11	Energy	11	1	WW	9/19/17	9/19/17	Scottsbluff  NE									
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0112W_S8_17	S8	Sweet	12	1	WW	9/19/17	9/19/17	Scottsbluff  NE	11056		158674.15	2305		33074.84	15	346	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0113W_E7_17	E7	Energy	13	1	WW	9/19/17	9/19/17	Scottsbluff  NE	7185	264	106906.99	1513	75	22791.61	10	262	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0114W_S5_17	S5	Sweet	14	1	WW	9/19/17	9/19/17	Scottsbluff  NE	7484	452	113896.35	1597	145	25003.71	15	318	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0115W_E13_17	E13	Energy	15	1	WW	9/19/17	9/19/17	Scottsbluff  NE	8958		128563.95	1412		20265.16	13	282	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0116W_E14_17	E14	Energy	16	1	WW	9/19/17	9/19/17	Scottsbluff  NE	9000		129166.73	2150		30851.52	16	304	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0117W_E3_17	E3	Energy	17	1	WW	9/19/17	9/19/17	Scottsbluff  NE	8716		125090.8	1600		22963.53	13	274	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0118W_E18_17	E18	Energy	18	1	WW	9/19/17	9/19/17	Scottsbluff  NE	10400		149259.33	1662		23846.56	16	286	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0119W_S4_17	S4	Sweet	19	1	WW	9/19/17	9/19/17	Scottsbluff  NE	7908	302	117828.76	1706	93	25830.22	9	324	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0120W_E9_17	E9	Energy	20	1	WW	9/19/17	9/19/17	Scottsbluff  NE	8622		123741.72	1861		26706.85	20	318	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0121W_E15_17	E15	Energy	21	1	WW	9/19/17	9/19/17	Scottsbluff  NE	10766		154512.11	2015		28916.02	19	368	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0122W_S6_17	S6	Sweet	22	1	WW	9/19/17	9/19/17	Scottsbluff  NE	9400	268	138753.77	1676	81	25209.97	19	338	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0123W_E5_17	E5	Energy	23	1	WW	9/19/17	9/19/17	Scottsbluff  NE	9450	190	138351.92	1479	67	22180.89	14	322	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0124W_E4_17	E4	Energy	24	1	WW	9/19/17	9/19/17	Scottsbluff  NE	6020		86398.19	901		12932.21	17	164	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0101D_G1_17	G1	Grain	1	1	WS	9/19/17	9/19/17	Scottsbluff  NE	3658	978	66535.22	882	286	16762.3	12	138	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0102D_G3_17	G3	Grain	2	1	WS	9/19/17	9/19/17	Scottsbluff  NE	2990	560	50949.1	746	173	13195.39	9	110	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0103D_E10_17	E10	Energy	3	1	WS	9/19/17	9/19/17	Scottsbluff  NE	4672		67051.88	968		13898.03	13	136	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0104D_S2_17	S2	Sweet	4	1	WS	9/19/17	9/19/17	Scottsbluff  NE	1984	530	36080.57	519	170	9884.54	7	142	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0105D_S10_17	S10	Sweet	5	1	WS	9/19/17	9/19/17	Scottsbluff  NE	1706	474	31287.05	519	182	10054.53	4	196	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0106D_E6_17	E6	Energy	6	1	WS	9/19/17	9/19/17	Scottsbluff  NE	4052		58153.73	843		12101.35	20	150	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0107D_S3_17	S3	Sweet	7	1	WS	9/19/17	9/19/17	Scottsbluff  NE	3506		50317.62	788		11302.63	7	202	
schachtman_2017_biom	2019-01-17T14:11:28.259801Z	SB0108D_E1_17	E1	Energy	8	1	WS	9/19/17	9/19/17	Scottsbluff  NE	3332		47820.39	722		10357.41	8	156	
